Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
2005.1084280736075,13.982629971493266,1.9630546569824219,20,20,20,100,100,6
1828.2354072809067,10.168377666295033,1.790844202041626,20,20,20,100,100,6
1704.8195588386175,13.196849410194893,2.2209627628326416,20,20,20,100,100,6
1688.6115730486003,16.068608009202567,1.4108495712280273,20,20,20,100,100,6
1928.720161942416,9.13197646960627,4.367575645446777,20,20,20,100,100,6
1701.0378807663694,16.432336118703628,1.4363987445831299,20,20,20,100,100,6
1799.70797198111,9.177603341158019,1.7253422737121582,20,20,20,100,100,6
1754.8611764979194,10.742606003613407,2.744783401489258,20,20,20,100,100,6
1904.6676871506672,12.219744925842654,1.6402924060821533,20,20,20,100,100,6
1716.3990720542704,12.542368920560385,1.6941907405853271,20,20,20,100,100,6
1811.700842445831,11.776284446143325,1.7485394477844238,20,20,20,100,100,6
1761.3078439969065,8.915444938112506,1.3811719417572021,20,20,20,100,100,6
1597.0427554942773,12.383608227741654,1.5219712257385254,20,20,20,100,100,6
1553.5362275739178,13.451814668207522,1.3007092475891113,20,20,20,100,100,6
1648.1611953514273,12.65416307539392,1.2418816089630127,20,20,20,100,100,6
1792.88448125246,11.74073545787638,1.2911007404327393,20,20,20,100,100,6
1859.3987041256257,12.686828873093509,1.353222131729126,20,20,20,100,100,6
1640.474963922399,11.672746783243154,1.356835126876831,20,20,20,100,100,6
1679.4273850981933,13.425947383059228,1.344628095626831,20,20,20,100,100,6
1778.5553687681688,5.658122904324879,1.9718761444091797,20,20,20,100,100,6
1808.1066958481997,12.110695190245158,1.2164053916931152,20,20,20,100,100,6
1699.8053928779705,12.333924913050062,1.4284186363220215,20,20,20,100,100,6
1751.894715765783,10.910632387963666,1.0073461532592773,20,20,20,100,100,6
1735.6944206764967,8.00200059437918,1.244675874710083,20,20,20,100,100,6
1651.1934922954013,11.593498305490302,1.485625982284546,20,20,20,100,100,6
1755.2031702597367,9.187519620996861,1.179677963256836,20,20,20,100,100,6
1594.5456980713448,10.134216751164667,1.3414790630340576,20,20,20,100,100,6
1616.922466991895,15.637464493113875,3.0667784214019775,20,20,20,100,100,6
1730.0340480474117,10.360831722312149,1.5638270378112793,20,20,20,100,100,6
1709.5088935447423,9.398384701560934,1.3764121532440186,20,20,20,100,100,6
1697.8880194822414,11.913524415663394,2.112208604812622,20,20,20,100,100,6
1625.398999674709,13.29085403513837,1.6243698596954346,20,20,20,100,100,6
1608.9003948314548,12.218296681419515,1.8720614910125732,20,20,20,100,100,6
1629.1042068551833,11.361299825141687,2.744314193725586,20,20,20,100,100,6
1717.2903670214696,9.36359478936364,2.485264778137207,20,20,20,100,100,6
1716.4448851057487,8.870371800015285,2.408647298812866,20,20,20,100,100,6
1592.5295412554763,7.70197913210527,2.6548056602478027,20,20,20,100,100,6
1753.447495346885,9.161745347531994,1.6914808750152588,20,20,20,100,100,6
1570.7664918008018,7.347767490628161,1.412344217300415,20,20,20,100,100,6
1785.4998358384448,8.421561076544808,1.7145416736602783,20,20,20,100,100,6
1577.193171305534,12.882530376753255,1.4067916870117188,20,20,20,100,100,6
1675.228834911838,10.991102590156796,1.3175737857818604,20,20,20,100,100,6
1663.4957437772987,13.82962739239778,1.255695104598999,20,20,20,100,100,6
1655.5063454248582,10.109867764603115,1.364236831665039,20,20,20,100,100,6
1608.7232774748577,8.885204357918369,1.4890635013580322,20,20,20,100,100,6
1608.6985730749989,11.367870310332815,1.3939504623413086,20,20,20,100,100,6
1536.3301053837693,14.057472769938993,1.1449930667877197,20,20,20,100,100,6
